,,,,,,,,,,,,,,,,,,,,,,
LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
40.77898,-73.96925,42.7,2018-03-07,10.07,,1.41,3.2,0.0,,39,33,,60,70,21.9,35.1,1,1,,,,
40.77898,-73.96925,42.7,2018-03-08,6.04,,0.00,0.0,3.1,,39,33,,280,280,14.1,21.0,,,,,,
40.77898,-73.96925,42.7,2018-03-09,7.83,,0.00,0.0,2.0,,42,30,,270,260,17.0,25.9,,,,,,
40.77898,-73.96925,42.7,2018-03-10,8.50,,0.00,0.0,0.0,,40,31,,280,270,17.0,25.1,,,,,,
40.77898,-73.96925,42.7,2018-03-11,5.37,,0.00,0.0,0.0,,45,32,,310,310,13.0,19.9,,,,,,
40.77898,-73.96925,42.7,2018-03-12,8.50,,0.08,0.0,0.0,,43,32,,70,50,17.0,23.9,1,,,,,
40.77898,-73.96925,42.7,2018-03-13,8.50,,0.28,0.0,0.0,,40,33,,290,280,16.1,28.0,1,,,,,
40.77898,-73.96925,42.7,2018-03-14,10.96,,0.01,0.0,0.0,,41,31,,260,250,19.9,31.1,1,,,,,
40.77898,-73.96925,42.7,2018-03-15,10.07,,0.00,0.0,0.0,,48,32,,250,280,17.0,31.1,,,,,,
40.77898,-73.96925,42.7,2018-03-16,9.84,,0.00,0.0,0.0,,40,30,,280,280,19.9,42.1,,,,,,
40.77898,-73.96925,42.7,2018-03-17,7.61,,0.00,0.0,0.0,,48,27,,280,280,17.0,27.1,,,,,,
40.77898,-73.96925,42.7,2018-03-18,6.26,,0.00,0.0,0.0,,43,28,,310,310,16.1,25.9,,,,,,
40.77898,-73.96925,42.7,2018-03-19,5.82,,0.00,0.0,0.0,,47,33,,50,20,13.0,18.1,,,,,,
40.77898,-73.96925,42.7,2018-03-20,8.95,,0.00,0.0,0.0,,39,30,,70,60,16.1,23.0,,,,,,
40.77898,-73.96925,42.7,2018-03-21,10.74,,0.99,8.2,0.0,,39,31,,50,60,21.9,33.1,1,1,,,,
40.77898,-73.96925,42.7,2018-03-22,6.71,,0.06,0.2,7.9,,50,32,,310,320,14.1,23.0,1,,,,,1
40.77898,-73.96925,42.7,2018-03-23,5.59,,0.00,0.0,1.2,,49,35,,20,350,14.1,21.0,,,,,,
40.77898,-73.96925,42.7,2018-03-24,6.04,,0.00,0.0,0.0,,51,35,,40,10,12.1,19.0,,,,,,
40.77898,-73.96925,42.7,2018-03-25,8.28,,0.00,0.0,0.0,,45,33,,70,50,19.9,29.1,,,,,,
40.77898,-73.96925,42.7,2018-03-26,5.82,,0.00,0.0,0.0,,50,34,,50,60,21.0,28.0,,,,,,
40.77898,-73.96925,42.7,2018-03-27,3.36,,0.01,0.0,0.0,,47,34,,50,60,10.1,14.1,1,,,,,
40.77898,-73.96925,42.7,2018-03-28,4.03,,0.03,0.0,0.0,,52,38,,240,250,12.1,17.0,1,,,,,
40.77898,-73.96925,42.7,2018-03-29,2.91,,0.03,0.0,0.0,,53,49,,150,160,8.9,16.1,1,,,,,1
40.77898,-73.96925,42.7,2018-03-30,4.03,,0.03,0.0,0.0,,62,44,,300,290,15.0,23.9,1,,,,,1
40.77898,-73.96925,42.7,2018-03-31,6.49,,0.00,0.0,0.0,,58,39,,170,300,16.1,25.1,,,,,,
40.77898,-73.96925,42.7,2018-04-01,6.71,,0.00,0.0,0.0,,60,43,,250,180,14.1,25.1,,,,,,
40.77898,-73.96925,42.7,2018-04-02,5.82,,0.59,5.5,5.1,,43,33,,20,10,16.1,21.9,1,1,,,,
40.77898,-73.96925,42.7,2018-04-03,4.70,,0.26,0.0,0.0,,43,39,,60,60,12.1,16.1,1,,,,,1
40.77898,-73.96925,42.7,2018-04-04,8.50,,0.04,0.0,0.0,,56,40,,280,260,21.9,42.1,1,,,,,1
40.77898,-73.96925,42.7,2018-04-05,8.72,,0.00,0.0,0.0,,45,34,,280,270,19.9,31.1,,,,,,
40.77898,-73.96925,42.7,2018-04-06,4.92,,0.11,0.0,0.0,,62,37,,250,250,15.0,27.1,1,,,,,
40.77898,-73.96925,42.7,2018-04-07,7.38,,0.00,0.0,0.0,,49,37,,300,290,16.1,23.9,,,,,,
40.77898,-73.96925,42.7,2018-04-08,8.50,,0.00,0.0,0.0,,46,32,,290,290,18.1,30.0,,,,,,
40.77898,-73.96925,42.7,2018-04-09,5.37,,0.00,0.0,0.0,,49,32,,310,310,14.1,21.0,,,,,,
40.77898,-73.96925,42.7,2018-04-10,4.92,,0.01,0.0,0.0,,51,38,,10,320,12.1,19.9,1,,,,,1
40.77898,-73.96925,42.7,2018-04-11,3.80,,0.00,0.0,0.0,,51,37,,170,180,13.0,19.0,,,,,,
40.77898,-73.96925,42.7,2018-04-12,5.59,,0.00,0.0,0.0,,63,46,,250,260,15.0,23.0,,,,,,1
40.77898,-73.96925,42.7,2018-04-13,5.59,,0.00,0.0,0.0,,82,60,,250,250,18.1,31.1,,,,,,
40.77898,-73.96925,42.7,2018-04-14,7.38,,0.00,0.0,0.0,,77,44,,60,60,21.0,27.1,1,,,,,1
40.77898,-73.96925,42.7,2018-04-15,12.30,,0.47,0.0,0.0,,44,38,,70,100,21.9,32.0,1,,,,,1
40.77898,-73.96925,42.7,2018-04-16,11.41,,2.82,0.0,0.0,,60,39,,60,50,28.0,44.1,1,,1,,,
40.77898,-73.96925,42.7,2018-04-17,8.50,,0.00,0.0,0.0,,47,39,,280,270,17.0,29.1,,,,,,
40.77898,-73.96925,42.7,2018-04-18,6.49,,0.00,0.0,0.0,,55,37,,250,250,18.1,27.1,,,,,,
40.77898,-73.96925,42.7,2018-04-19,7.61,,0.15,0.0,0.0,,49,38,,300,290,18.1,29.1,1,,,,,
40.77898,-73.96925,42.7,2018-04-20,8.50,,0.00,0.0,0.0,,50,37,,310,300,19.9,30.0,,,,,,
40.77898,-73.96925,42.7,2018-04-21,5.82,,0.00,0.0,0.0,,63,39,,280,280,15.0,21.9,,,,,,
40.77898,-73.96925,42.7,2018-04-22,4.25,,0.00,0.0,0.0,,67,44,,180,170,13.0,23.0,,,,,,
40.77898,-73.96925,42.7,2018-04-23,4.47,,0.00,0.0,0.0,,68,46,,160,150,15.0,21.0,,,,,,
40.77898,-73.96925,42.7,2018-04-24,4.25,,0.05,0.0,0.0,,66,46,,170,170,15.0,23.0,1,,,,,
40.77898,-73.96925,42.7,2018-04-25,3.80,,0.95,0.0,0.0,,60,52,,150,150,12.1,19.9,1,,,,,
40.77898,-73.96925,42.7,2018-04-26,4.92,,0.10,0.0,0.0,,70,55,,290,280,15.0,21.9,1,,,,,
40.77898,-73.96925,42.7,2018-04-27,2.46,,0.05,0.0,0.0,,59,51,,90,110,10.1,17.0,1,,,,,1
40.77898,-73.96925,42.7,2018-04-28,3.36,,0.10,0.0,0.0,,68,50,,160,160,14.1,23.0,1,,,,,1
40.77898,-73.96925,42.7,2018-04-29,5.82,,0.08,0.0,0.0,,59,47,,310,290,15.0,25.1,1,,,,,
40.77898,-73.96925,42.7,2018-04-30,5.14,,0.00,0.0,0.0,,51,44,,310,320,16.1,28.0,,,,,,
40.77898,-73.96925,42.7,2018-05-01,4.25,,0.00,0.0,0.0,,80,48,,320,330,14.1,21.0,,,,,,
40.77898,-73.96925,42.7,2018-05-02,5.37,,0.00,0.0,0.0,,90,65,,250,260,16.1,31.1,,,,,,
40.77898,-73.96925,42.7,2018-05-03,5.37,,0.02,0.0,0.0,,92,70,,250,250,15.0,28.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-04,3.58,,0.00,0.0,0.0,,84,72,,280,250,18.1,30.0,,,,,,1
40.77898,-73.96925,42.7,2018-05-05,4.92,,0.00,0.0,0.0,,76,61,,310,290,14.1,25.9,,,,,,
40.77898,-73.96925,42.7,2018-05-06,3.80,,0.00,0.0,0.0,,66,56,,70,70,14.1,21.9,,,,,,
40.77898,-73.96925,42.7,2018-05-07,2.01,,0.00,0.0,0.0,,77,54,,160,180,10.1,16.1,,,,,,
40.77898,-73.96925,42.7,2018-05-08,1.79,,0.00,0.0,0.0,,74,53,,170,160,8.1,14.1,,,,,,
40.77898,-73.96925,42.7,2018-05-09,2.24,,0.00,0.0,0.0,,77,54,,150,150,10.1,18.1,1,,,,,1
40.77898,-73.96925,42.7,2018-05-10,2.68,,0.25,0.0,0.0,,66,54,,180,180,8.9,17.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-11,3.58,,0.00,0.0,0.0,,73,60,,310,310,13.0,19.0,,,,,,
40.77898,-73.96925,42.7,2018-05-12,3.58,,0.22,0.0,0.0,,63,51,,350,340,12.1,17.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-13,2.46,,0.10,0.0,0.0,,54,52,,70,110,10.1,14.1,1,,,,,
40.77898,-73.96925,42.7,2018-05-14,1.34,,0.03,0.0,0.0,,71,52,,150,150,8.9,13.0,1,,,,,1
40.77898,-73.96925,42.7,2018-05-15,2.68,,0.58,0.0,0.0,,88,61,,300,290,15.0,30.0,1,,,,,1
40.77898,-73.96925,42.7,2018-05-16,2.46,,0.34,0.0,0.0,,64,56,,110,110,8.9,15.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-17,1.12,,0.22,0.0,0.0,,71,56,,250,250,8.1,10.1,1,,,,,1
40.77898,-73.96925,42.7,2018-05-18,5.82,,0.00,0.0,0.0,,67,56,,70,70,16.1,25.1,1,,,,,
40.77898,-73.96925,42.7,2018-05-19,4.03,,0.65,0.0,0.0,,56,49,,70,70,14.1,21.9,1,,,,,
40.77898,-73.96925,42.7,2018-05-20,3.80,,0.00,0.0,0.0,,81,56,,260,260,13.0,21.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-21,2.46,,0.00,0.0,0.0,,79,58,,240,240,10.1,17.0,,,,,,
40.77898,-73.96925,42.7,2018-05-22,0.89,,0.29,0.0,0.0,,68,55,,160,160,8.9,15.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-23,2.46,,0.29,0.0,0.0,,81,59,,300,290,8.9,15.0,1,,,,,
40.77898,-73.96925,42.7,2018-05-24,2.91,,0.00,0.0,0.0,,83,63,,240,260,12.1,21.0,,,,,,
40.77898,-73.96925,42.7,2018-05-25,5.14,,0.00,0.0,0.0,,86,65,,260,260,14.1,27.1,,,,,,
40.77898,-73.96925,42.7,2018-05-26,2.01,,0.00,0.0,0.0,,89,72,,250,240,14.1,19.9,,,,,,
40.77898,-73.96925,42.7,2018-05-27,8.28,,0.44,0.0,0.0,,80,56,,70,70,16.1,27.1,1,,,,,
40.77898,-73.96925,42.7,2018-05-28,1.79,,0.00,0.0,0.0,,69,56,,70,70,8.9,14.1,,,,,,
40.77898,-73.96925,42.7,2018-05-29,1.12,,0.00,0.0,0.0,,89,63,,250,250,8.1,13.0,1,,,,,1
40.77898,-73.96925,42.7,2018-05-30,2.24,,0.00,0.0,0.0,,78,61,,140,180,8.9,16.1,1,,,,,1
40.77898,-73.96925,42.7,2018-05-31,2.01,,0.10,0.0,0.0,,68,63,,160,160,8.1,13.0,1,,,,,1
40.77898,-73.96925,42.7,2018-06-01,0.89,,0.27,0.0,0.0,,81,65,,310,290,6.9,15.0,1,,,,,1
40.77898,-73.96925,42.7,2018-06-02,3.80,,0.08,0.0,0.0,,87,66,,30,40,14.1,23.0,1,,,,,1
40.77898,-73.96925,42.7,2018-06-03,5.82,,0.25,0.0,0.0,,66,51,,110,130,14.1,23.0,1,,,,,
40.77898,-73.96925,42.7,2018-06-04,3.80,,0.16,0.0,0.0,,71,51,,60,60,12.1,18.1,1,,,,,
40.77898,-73.96925,42.7,2018-06-05,3.80,,0.00,0.0,0.0,,75,58,,280,270,15.0,25.1,1,,,,,
40.77898,-73.96925,42.7,2018-06-06,2.68,,0.00,0.0,0.0,,71,58,,20,170,8.1,13.0,,,,,,
40.77898,-73.96925,42.7,2018-06-07,2.46,,0.00,0.0,0.0,,71,60,,170,160,8.9,17.0,,,,,,
40.77898,-73.96925,42.7,2018-06-08,2.91,,0.00,0.0,0.0,,82,60,,250,250,8.9,16.1,,,,,,
40.77898,-73.96925,42.7,2018-06-09,1.79,,0.00,0.0,0.0,,83,67,,40,30,8.1,15.0,,,,,,
40.77898,-73.96925,42.7,2018-06-10,1.12,,0.01,0.0,0.0,,73,58,,80,100,8.9,16.1,,,,,,
40.77898,-73.96925,42.7,2018-06-11,3.13,,0.00,0.0,0.0,,73,58,,150,170,8.9,17.0,,,,,,
40.77898,-73.96925,42.7,2018-06-12,3.36,,0.00,0.0,0.0,,75,57,,190,160,10.1,19.0,,,,,,
40.77898,-73.96925,42.7,2018-06-13,3.58,,0.04,0.0,0.0,,78,63,,260,260,12.1,18.1,1,,,,,1
40.77898,-73.96925,42.7,2018-06-14,6.93,,0.00,0.0,0.0,,84,67,,300,290,15.0,27.1,,,,,,
40.77898,-73.96925,42.7,2018-06-15,3.13,,0.00,0.0,0.0,,76,63,,300,290,13.0,19.9,,,,,,1
40.77898,-73.96925,42.7,2018-06-16,2.24,,0.00,0.0,0.0,,85,64,,290,280,8.1,12.1,,,,,,
40.77898,-73.96925,42.7,2018-06-17,1.79,,0.00,0.0,0.0,,91,66,,240,250,8.9,17.0,,,,,,
40.77898,-73.96925,42.7,2018-06-18,5.59,,0.08,0.0,0.0,,91,73,,240,260,14.1,23.9,1,,1,,,
40.77898,-73.96925,42.7,2018-06-19,3.80,,0.07,0.0,0.0,,88,75,,40,240,12.1,19.9,1,,,,,
40.77898,-73.96925,42.7,2018-06-20,1.57,,0.09,0.0,0.0,,83,69,,170,160,8.1,14.1,1,,,,,1
40.77898,-73.96925,42.7,2018-06-21,2.01,,0.59,0.0,0.0,,83,65,,10,20,8.1,14.1,1,,,,,
40.77898,-73.96925,42.7,2018-06-22,4.70,,0.10,0.0,0.0,,75,62,,140,70,10.1,16.1,1,,,,,
40.77898,-73.96925,42.7,2018-06-23,4.92,,0.00,0.0,0.0,,66,62,,60,70,13.0,19.9,,,,,,
40.77898,-73.96925,42.7,2018-06-24,2.24,,0.00,0.0,0.0,,84,66,,270,230,8.9,21.0,1,,1,,,1
40.77898,-73.96925,42.7,2018-06-25,4.92,,0.00,0.0,0.0,,81,67,,350,340,15.0,23.9,,,,,,
40.77898,-73.96925,42.7,2018-06-26,3.80,,0.00,0.0,0.0,,78,61,,160,170,8.9,19.0,,,,,,
40.77898,-73.96925,42.7,2018-06-27,3.58,,0.01,0.0,0.0,,73,66,,180,180,10.1,21.0,1,,,,,
40.77898,-73.96925,42.7,2018-06-28,2.91,,1.36,0.0,0.0,,83,70,,360,340,13.0,19.9,1,1,1,,,
40.77898,-73.96925,42.7,2018-06-29,2.68,,0.00,0.0,0.0,,89,70,,280,300,10.1,17.0,,,,,,
40.77898,-73.96925,42.7,2018-06-30,2.24,,0.00,0.0,0.0,,93,72,,220,240,8.9,15.0,,,,,,
40.77898,-73.96925,42.7,2018-07-01,2.91,,0.00,0.0,0.0,,96,79,,220,230,8.9,17.0,,,,,,
40.77898,-73.96925,42.7,2018-07-02,2.01,,0.00,0.0,0.0,,95,79,,160,150,10.1,19.9,,,,,,1
40.77898,-73.96925,42.7,2018-07-03,1.12,,0.01,0.0,0.0,,92,77,,350,290,8.9,13.0,1,,1,,,1
40.77898,-73.96925,42.7,2018-07-04,1.12,,0.00,0.0,0.0,,86,77,,170,180,6.9,12.1,1,,,,,1
40.77898,-73.96925,42.7,2018-07-05,2.91,,0.00,0.0,0.0,,90,76,,150,180,10.1,18.1,1,,,,,
40.77898,-73.96925,42.7,2018-07-06,4.03,,0.23,0.0,0.0,,80,69,,10,10,16.1,23.0,1,,1,,,
40.77898,-73.96925,42.7,2018-07-07,5.37,,0.00,0.0,0.0,,78,62,,80,80,15.0,23.9,,,,,,
40.77898,-73.96925,42.7,2018-07-08,2.01,,0.00,0.0,0.0,,84,62,,160,150,8.1,13.0,,,,,,
40.77898,-73.96925,42.7,2018-07-09,2.68,,0.00,0.0,0.0,,87,67,,160,180,8.9,14.1,,,,,,
40.77898,-73.96925,42.7,2018-07-10,3.80,,0.00,0.0,0.0,,93,72,,290,290,10.1,17.0,,,,,,
40.77898,-73.96925,42.7,2018-07-11,2.68,,0.00,0.0,0.0,,88,74,,360,30,12.1,19.0,,,,,,
40.77898,-73.96925,42.7,2018-07-12,1.34,,0.71,0.0,0.0,,84,64,,110,340,8.9,15.0,1,,,,,1
40.77898,-73.96925,42.7,2018-07-13,2.01,,0.00,0.0,0.0,,84,68,,260,160,8.9,16.1,,,,,,
40.77898,-73.96925,42.7,2018-07-14,3.58,,0.36,0.0,0.0,,88,70,,240,310,13.0,21.9,1,,1,,,
40.77898,-73.96925,42.7,2018-07-15,3.36,,0.64,0.0,0.0,,83,69,,260,250,10.1,18.1,1,,1,,,
40.77898,-73.96925,42.7,2018-07-16,2.24,,0.00,0.0,0.0,,90,75,,160,170,8.1,16.1,,,,,,
40.77898,-73.96925,42.7,2018-07-17,2.68,,2.24,0.0,0.0,,88,70,,300,300,16.1,27.1,1,,1,,,1
40.77898,-73.96925,42.7,2018-07-18,3.36,,0.00,0.0,0.0,,85,66,,50,30,12.1,21.9,1,,,,,
40.77898,-73.96925,42.7,2018-07-19,2.24,,0.00,0.0,0.0,,83,66,,70,70,8.9,14.1,,,,,,
40.77898,-73.96925,42.7,2018-07-20,2.01,,0.00,0.0,0.0,,82,69,,160,160,8.1,16.1,,,,,,
40.77898,-73.96925,42.7,2018-07-21,5.82,,0.63,0.0,0.0,,79,65,,60,100,15.0,21.9,1,,,,,
40.77898,-73.96925,42.7,2018-07-22,3.36,,1.06,0.0,0.0,,79,70,,140,130,14.1,30.0,1,1,,,,
40.77898,-73.96925,42.7,2018-07-23,4.47,,0.17,0.0,0.0,,80,73,,170,170,12.1,25.9,1,,,,,
40.77898,-73.96925,42.7,2018-07-24,5.14,,0.02,0.0,0.0,,82,75,,170,170,14.1,25.9,1,,,,,
40.77898,-73.96925,42.7,2018-07-25,3.80,,0.73,0.0,0.0,,77,72,,240,240,13.0,32.0,1,,,,,
40.77898,-73.96925,42.7,2018-07-26,3.36,,0.03,0.0,0.0,,85,72,,250,250,8.1,12.1,1,,,,,
40.77898,-73.96925,42.7,2018-07-27,2.46,,0.25,0.0,0.0,,86,68,,310,320,12.1,21.0,1,,1,,,
40.77898,-73.96925,42.7,2018-07-28,1.12,,0.00,0.0,0.0,,85,70,,270,250,8.1,12.1,1,,,,,1
40.77898,-73.96925,42.7,2018-07-29,2.01,,0.00,0.0,0.0,,82,70,,280,290,8.9,13.0,,,,,,
40.77898,-73.96925,42.7,2018-07-30,1.34,,0.37,0.0,0.0,,78,68,,100,160,6.9,12.1,1,,,,,1
40.77898,-73.96925,42.7,2018-07-31,1.57,,0.00,0.0,0.0,,82,68,,160,150,8.1,15.0,,,,,,
40.77898,-73.96925,42.7,2018-08-01,2.46,,0.10,0.0,0.0,,84,74,,290,300,13.0,23.0,1,,,,,
40.77898,-73.96925,42.7,2018-08-02,2.68,,0.51,0.0,0.0,,86,76,,230,240,10.1,19.9,1,,1,,,
40.77898,-73.96925,42.7,2018-08-03,2.24,,0.24,0.0,0.0,,85,73,,260,160,8.9,21.0,1,,1,,,1
